"filename", "language", "Markdown", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "Log", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\User\Desktop\Projects\sawaensemble\.eslintrc.json", "JSON with Comments", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\User\Desktop\Projects\sawaensemble\.next-dev.stderr.log", "Log", 0, 0, 0, 0, 0, 146, 0, 0, 0, 1, 147
"c:\Users\User\Desktop\Projects\sawaensemble\.next-dev.stdout.log", "Log", 0, 0, 0, 0, 0, 220, 0, 0, 0, 4, 224
"c:\Users\User\Desktop\Projects\sawaensemble\README.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"c:\Users\User\Desktop\Projects\sawaensemble\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 159, 0, 0, 8, 167
"c:\Users\User\Desktop\Projects\sawaensemble\app\artists\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 7, 113
"c:\Users\User\Desktop\Projects\sawaensemble\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 7, 143
"c:\Users\User\Desktop\Projects\sawaensemble\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 124, 0, 20, 144
"c:\Users\User\Desktop\Projects\sawaensemble\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 4, 79
"c:\Users\User\Desktop\Projects\sawaensemble\app\media\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 202, 0, 0, 11, 213
"c:\Users\User\Desktop\Projects\sawaensemble\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 0, 13, 240
"c:\Users\User\Desktop\Projects\sawaensemble\app\performances\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 138, 0, 0, 8, 146
"c:\Users\User\Desktop\Projects\sawaensemble\app\workshops\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 115, 0, 0, 7, 122
"c:\Users\User\Desktop\Projects\sawaensemble\components.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\User\Desktop\Projects\sawaensemble\components\AccessibilitySkipLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\User\Desktop\Projects\sawaensemble\components\AnimatedWord.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Users\User\Desktop\Projects\sawaensemble\components\ArtistCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 5, 65
"c:\Users\User\Desktop\Projects\sawaensemble\components\AudioPreviewCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 60
"c:\Users\User\Desktop\Projects\sawaensemble\components\AudioToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 6, 98
